0,347.99,239.46,296.68,288.48,309.22,176.48,170.28,279.49,298.22,206.16,268.11,191.65,248.38,169.84,291.51,228.23
347.99,0,181.08,147.04,228.36,168.06,276.73,251.18,121.53,117.13,195.4,155.4,270.77,150.59,298.24,158.6,190.55
239.46,181.08,0,163.8,178.1,193.37,191.08,156.3,141.2,139.87,128.17,132.05,168.58,124.98,190.23,131.73,115.79
296.68,147.04,163.8,0,226.55,134.04,273.52,211.21,118.95,100.59,143.76,146.16,229.32,144.46,250.27,131.64,160.86
288.48,228.36,178.1,226.55,0,229.37,206.89,219.66,190.47,223.42,202.65,150.77,225.88,203.78,208.74,195,149.05
309.22,168.06,193.37,134.04,229.37,0,275.46,214.96,131.3,122.54,151.37,159.34,210.72,127.67,251.84,136.14,163.67
176.48,276.73,191.08,273.52,206.89,275.46,0,132.49,223.64,261.12,175.12,199.11,172.97,201.47,138.47,248.64,158.91
170.28,251.18,156.3,211.21,219.66,214.96,132.49,0,179.58,200.09,104.45,169.24,100.26,143.64,98.939,186.13,112.55
279.49,121.53,141.2,118.95,190.47,131.3,223.64,179.58,0,96.134,128.14,117.49,199.75,107.27,221.04,116.51,119.63
298.22,117.13,139.87,100.59,223.42,122.54,261.12,200.09,96.134,0,135.78,136.75,208.93,103.88,252.87,95.755,150.56
206.16,195.4,128.17,143.76,202.65,151.37,175.12,104.45,128.14,135.78,0,141.32,124.94,101.32,157.79,136.68,102.06
268.11,155.4,132.05,146.16,150.77,159.34,199.11,169.24,117.49,136.75,141.32,0,182.69,120.53,182.55,140.46,93.78
191.65,270.77,168.58,229.32,225.88,210.72,172.97,100.26,199.75,208.93,124.94,182.69,0,158.06,116.36,182.29,128.88
248.38,150.59,124.98,144.46,203.78,127.67,201.47,143.64,107.27,103.88,101.32,120.53,158.06,0,197.64,112.45,108.34
169.84,298.24,190.23,250.27,208.74,251.84,138.47,98.939,221.04,252.87,157.79,182.55,116.36,197.64,0,225.58,129.95
291.51,158.6,131.73,131.64,195,136.14,248.64,186.13,116.51,95.755,136.68,140.46,182.29,112.45,225.58,0,121.97
228.23,190.55,115.79,160.86,149.05,163.67,158.91,112.55,119.63,150.56,102.06,93.78,128.88,108.34,129.95,121.97,0
