4118.2,1.282e+05,65039,97186,97005,1.0795e+05,43904,36416,88958,97676,51757,84852,50030,73657,40314,99615,64081
1.282e+05,7099.8,40486,30790,65932,40571,89340,70515,25615,22458,47434,37116,86616,34643,1.0041e+05,39790,48298
65039,40486,7696.2,36001,45506,49720,49271,31852,30784,28304,25679,30405,41719,27586,47654,31989,25399
97186,30790,36001,9168.9,65109,30293,87572,52031,24996,18857,29920,34329,65889,32834,74105,31967,37865
97005,65932,45506,65109,13785,64939,55564,55674,47126,58658,50318,35699,64324,53491,55042,52663,34206
1.0795e+05,40571,49720,30293,64939,12328,88636,53630,28085,23757,32166,38357,57703,28263,74894,33170,38778
43904,89340,49271,87572,55564,88636,12759,24976,60859,76924,39919,52610,43220,52555,30642,76457,37242
36416,70515,31852,52031,55674,53630,24976,7422.3,43096,48775,20163,41610,23353,32596,21257,49280,24658
88958,25615,30784,24996,47126,28085,60859,43096,10846,17981,25674,26772,53199,23472,60326,28211,26303
97676,22458,28304,18857,58658,23757,76924,48775,17981,8739.5,27689,31667,56951,22755,75409,23805,34659
51757,47434,25679,29920,50318,32166,39919,20163,25674,27689,9253,32937,28910,22229,36365,33318,22406
84852,37116,30405,34329,35699,38357,52610,41610,26772,31667,32937,12967,46675,26493,44793,34365,20785
50030,86616,41719,65889,64324,57703,43220,23353,53199,56951,28910,46675,13301,36948,25009,47868,28602
73657,34643,27586,32834,53491,28263,52555,32596,23472,22755,22229,26493,36948,11965,50530,27281,23728
40314,1.0041e+05,47654,74105,55042,74894,30642,21257,60326,75409,36365,44793,25009,50530,11468,65525,28879
99615,39790,31989,31967,52663,33170,76457,49280,28211,23805,33318,34365,47868,27281,65525,14636,26868
64081,48298,25399,37865,34206,38778,37242,24658,26303,34659,22406,20785,28602,23728,28879,26868,11991
