1.4321e-28,1.0187e+05,34925,34059,35550,36438,47920,32422,81233,29102,28105,46758,30908,26461,35820,24343
1.0187e+05,3.5994e-27,56073,1.6637e+05,1.3279e+05,85647,1.9959e+05,61305,35540,1.238e+05,1.3652e+05,1.8726e+05,1.6398e+05,1.0512e+05,66382,1.1141e+05
34925,56073,3650.8,52685,34177,26482,73079,19892,41373,37912,44347,74496,54163,28430,21359,29136
34059,1.6637e+05,52685,3819.4,26163,54415,17727,56263,1.294e+05,22989,23032,27587,18071,29674,58575,21859
35550,1.3279e+05,34177,26163,5742.9,38189,36470,41361,98772,28817,29402,41132,26904,23697,46715,22144
36438,85647,26482,54415,38189,5933.5,72903,18784,44219,37420,45161,60105,38230,21241,31404,29274
47920,1.9959e+05,73079,17727,36470,72903,5722.6,71566,1.5683e+05,26738,18492,20720,17961,39083,77326,25681
32422,61305,19892,56263,41361,18784,71566,5986.2,29098,34721,38215,57479,44019,20031,20683,23438
81233,35540,41373,1.294e+05,98772,44219,1.5683e+05,29098,6625.2,88042,1.0085e+05,1.3018e+05,1.1186e+05,64082,40863,73932
29102,1.238e+05,37912,22989,28817,37420,26738,34721,88042,6785.7,18619,25381,18034,21048,35097,14210
28105,1.3652e+05,44347,23032,29402,45161,18492,38215,1.0085e+05,18619,5389.5,22444,16833,23222,48049,14126
46758,1.8726e+05,74496,27587,41132,60105,20720,57479,1.3018e+05,25381,22444,6407.6,14525,30403,70420,23320
30908,1.6398e+05,54163,18071,26904,38230,17961,44019,1.1186e+05,18034,16833,14525,5551.9,19980,53266,16278
26461,1.0512e+05,28430,29674,23697,21241,39083,20031,64082,21048,23222,30403,19980,7540.1,30204,11977
35820,66382,21359,58575,46715,31404,77326,20683,40863,35097,48049,70420,53266,30204,8030.4,28834
24343,1.1141e+05,29136,21859,22144,29274,25681,23438,73932,14210,14126,23320,16278,11977,28834,6374.4
