5963.7,40744,65199,27515,56557,1.0038e+05,59108,24417,46447,70546,1.2625e+05,45706,1.3706e+05,77187,68667,1.052e+05,54971,1.5079e+05,28046
40744,6833.4,38596,24442,36977,51867,22744,41558,30345,37035,61878,22783,68575,36685,40390,55251,32863,80875,24114
65199,38596,9938.6,35126,31821,41603,28818,46912,30589,29525,60063,38147,52122,44383,37659,50953,35051,72927,36128
27515,24442,35126,6253,38954,50538,25827,33150,23939,38506,63430,26301,80756,39620,38187,53949,29287,88632,24372
56557,36977,31821,38954,7600.4,39821,37037,33230,23425,23875,58728,29407,45497,32072,23771,38232,21679,55155,26209
1.0038e+05,51867,41603,50538,39821,9852.4,28795,68576,34148,27203,26385,37615,37367,25516,26573,22927,31246,29031,47343
59108,22744,28818,25827,37037,28795,9914.8,46004,22767,25393,39055,20789,51620,25379,27843,35500,26873,54715,27282
24417,41558,46912,33150,33230,68576,46004,11199,33136,47371,99876,36718,98814,55392,42770,73852,34121,1.0662e+05,19720
46447,30345,30589,23939,23425,34148,22767,33136,8907.2,23960,46459,16512,59315,24757,21351,35598,24161,56324,20455
70546,37035,29525,38506,23875,27203,25393,47371,23960,11598,34434,21606,36746,22916,21929,26736,22719,42717,28218
1.2625e+05,61878,60063,63430,58728,26385,39055,99876,46459,34434,12248,39683,39583,26538,35781,20672,43840,27416,63180
45706,22783,38147,26301,29407,37615,20789,36718,16512,21606,39683,8819.8,61586,21659,25495,35496,26113,58775,18054
1.3706e+05,68575,52122,80756,45497,37367,51620,98814,59315,36746,39583,61586,15104,37967,39624,31455,41389,31333,67964
77187,36685,44383,39620,32072,25516,25379,55392,24757,22916,26538,21659,37967,11343,19211,21447,21851,30689,30960
68667,40390,37659,38187,23771,26573,27843,42770,21351,21929,35781,25495,39624,19211,11399,24683,20319,35600,26127
1.052e+05,55251,50953,53949,38232,22927,35500,73852,35598,26736,20672,35496,31455,21447,24683,12952,27716,23337,46949
54971,32863,35051,29287,21679,31246,26873,34121,24161,22719,43840,26113,41389,21851,20319,27716,12753,46262,22596
1.5079e+05,80875,72927,88632,55155,29031,54715,1.0662e+05,56324,42717,27416,58775,31333,30689,35600,23337,46262,12868,74300
28046,24114,36128,24372,26209,47343,27282,19720,20455,28218,63180,18054,67964,30960,26127,46949,22596,74300,10294
