0,184.15,235.08,145.82,221.26,300.88,221.8,114.97,193.75,242.79,337.65,192.06,349.22,256.6,239.31,303.72,205.47,371.38,133.24
184.15,0,169.29,134.87,171.4,204.97,113.27,174.24,146.42,159.49,222.78,118.16,231.24,159.19,170.27,205.67,141.81,260.78,117.56
235.08,169.29,0,169.92,155.63,178.19,137.49,188.98,147.25,133.89,218.67,171.25,192.4,181.77,162.05,194.94,149.33,245.07,160.73
145.82,134.87,169.92,0,177.07,201.71,126.14,148.16,122.6,164.04,226.23,132.22,256.23,168.16,163.67,202.48,128.58,275.25,118.65
221.26,171.4,155.63,177.07,0,173.11,164.69,148.43,120.49,110.8,215.59,143.48,174.33,143.98,111.23,159,94.476,205.64,126.15
300.88,204.97,178.19,201.71,173.11,0,137.41,239.54,158.87,124.92,118.9,169.69,149.21,119.05,123.18,99.872,135.99,127.13,192.48
221.8,113.27,137.49,126.14,164.69,137.41,0,186.56,117.73,117.45,163.73,109.41,191.09,118.48,128.23,150.16,118.83,204.57,130.34
114.97,174.24,188.98,148.16,148.43,239.54,186.56,0,155.66,189.14,296.02,167.03,289.33,209.88,177.12,246.78,146.18,306.18,97.086
193.75,146.42,147.25,122.6,120.49,158.87,117.73,155.66,0,111.18,184.96,87.707,210.26,115.82,99.758,150.49,106.8,208.46,100.8
242.79,159.49,133.89,164.04,110.8,124.92,117.45,189.14,111.18,0,148.95,113.07,147.11,107.58,102.62,117.41,99.826,172.77,133.88
337.65,222.78,218.67,226.23,215.59,118.9,163.73,296.02,184.96,148.95,0,175.68,156.46,123.27,156.15,87.862,176.31,120.61,229.97
192.06,118.16,171.25,132.22,143.48,169.69,109.41,167.03,87.707,113.07,175.68,0,215.59,101.57,118.73,150.15,115.58,214.26,88.089
349.22,231.24,192.4,256.23,174.33,149.21,191.09,289.33,210.26,147.11,156.46,215.59,0,163.17,168,136.02,169.22,135.89,240.15
256.6,159.19,181.77,168.16,143.98,119.05,118.48,209.88,115.82,107.58,123.27,101.57,163.17,0,88.386,92.167,95.383,133.5,143.76
239.31,170.27,162.05,163.67,111.23,123.18,128.23,177.12,99.758,102.62,156.15,118.73,168,88.386,0,108.31,86.978,150.77,125.83
303.72,205.67,194.94,202.48,159,99.872,150.16,246.78,150.49,117.41,87.862,150.15,136.02,92.167,108.31,0,122.32,102.32,191.46
205.47,141.81,149.33,128.58,94.476,135.99,118.83,146.18,106.8,99.826,176.31,115.58,169.22,95.383,86.978,122.32,0,182.74,110.91
371.38,260.78,245.07,275.25,205.64,127.13,204.57,306.18,208.46,172.77,120.61,214.26,135.89,133.5,150.77,102.32,182.74,0,252.99
133.24,117.56,160.73,118.65,126.15,192.48,130.34,97.086,100.8,133.88,229.97,88.089,240.15,143.76,125.83,191.46,110.91,252.99,0
