8004.1,88757,43196,43772,28959,25056,19437,32249,53205,31132,25710,20115
88757,8559.2,50061,21116,1.3543e+05,1.1432e+05,78835,39552,25179,53999,63838,66226
43196,50061,8946.4,31119,80410,57265,33051,25989,25897,28407,30301,38575
43772,21116,31119,7397.4,73423,61716,36775,17925,18322,24482,31852,29979
28959,1.3543e+05,80410,73423,7741.8,14417,30759,59540,99284,50422,39654,29411
25056,1.1432e+05,57265,61716,14417,7275.7,23349,48135,79939,38131,24010,23915
19437,78835,33051,36775,30759,23349,7823.4,21290,40161,14876,19862,15402
32249,39552,25989,17925,59540,48135,21290,7435.4,15187,13913,27637,17744
53205,25179,25897,18322,99284,79939,40161,15187,7686.3,23660,40949,36870
31132,53999,28407,24482,50422,38131,14876,13913,23660,8068.1,20617,16584
25710,63838,30301,31852,39654,24010,19862,27637,40949,20617,9895.8,18408
20115,66226,38575,29979,29411,23915,15402,17744,36870,16584,18408,8384.4
