0,230.28,224.19,212.23,203.34,213.52,236.73,202.34,213.99,230.4
230.28,0,121.07,211.55,108.16,86.325,129.75,125.74,105.79,127.3
224.19,121.07,0,207.24,76.041,99.65,106.62,109.48,119.24,64.408
212.23,211.55,207.24,0,181.02,194.82,221.28,165.76,195.55,209.53
203.34,108.16,76.041,181.02,0,71.354,115.3,76.037,81.424,76.82
213.52,86.325,99.65,194.82,71.354,0,94.096,92.044,66.293,97.472
236.73,129.75,106.62,221.28,115.3,94.096,0,119.88,119.94,84.821
202.34,125.74,109.48,165.76,76.037,92.044,119.88,0,110.84,98.544
213.99,105.79,119.24,195.55,81.424,66.293,119.94,110.84,0,115.07
230.4,127.3,64.408,209.53,76.82,97.472,84.821,98.544,115.07,0
