18.88,227.38,89.44,98.15,167.95,175.55,89.672,107.16,188.92,144.06,200,102.69,139.37
227.38,19.224,119.24,134.82,226.14,119.5,136.18,107.47,192.21,88.856,114.43,81.256,191.7
89.44,119.24,11.219,54.569,90.28,43.416,45.321,31.38,68.631,40.488,58.067,55.365,62.2
98.15,134.82,54.569,14.167,57.594,62.273,52.076,35.568,67.453,69.373,86.094,57.039,55.141
167.95,226.14,90.28,57.594,18.95,95.322,110.08,91.046,71.484,111.55,146.53,141.58,100.11
175.55,119.5,43.416,62.273,95.322,12.643,81.838,41.743,69.826,42.123,36.319,61.63,64.813
89.672,136.18,45.321,52.076,110.08,81.838,15.538,35.878,95.816,55.83,68.941,54.779,55.29
107.16,107.47,31.38,35.568,91.046,41.743,35.878,14.113,64.351,42.337,44.364,42.336,43.793
188.92,192.21,68.631,67.453,71.484,69.826,95.816,64.351,23.882,93.768,70.765,116.37,56.473
144.06,88.856,40.488,69.373,111.55,42.123,55.83,42.337,93.768,19.7,46.073,41.404,81.403
200,114.43,58.067,86.094,146.53,36.319,68.941,44.364,70.765,46.073,18.457,63.062,60.403
102.69,81.256,55.365,57.039,141.58,61.63,54.779,42.336,116.37,41.404,63.062,18.923,81.003
139.37,191.7,62.2,55.141,100.11,64.813,55.29,43.793,56.473,81.403,60.403,81.003,25.891
