0,17.868,17.023,11.787,17.905,18.185,15.635,13.489,18.71,15.945,13.265,16.327
17.868,0,13.314,12.458,13.653,13.145,12.003,9.0269,10.78,10.698,10.7,7.6252
17.023,13.314,0,10.844,5.3568,7.6053,9.3587,6.2846,6.0348,6.7388,8.2256,8.3413
11.787,12.458,10.844,0,10.604,9.0351,7.9491,6.7779,10.607,7.8122,4.8657,7.4501
17.905,13.653,5.3568,10.604,0,5.7945,10.249,7.3048,4.4584,6.175,9.6937,7.9644
18.185,13.145,7.6053,9.0351,5.7945,0,7.4263,8.2304,5.2769,4.394,7.7069,6.1547
15.635,12.003,9.3587,7.9491,10.249,7.4263,0,7.4706,8.3889,4.8246,5.1476,6.9056
13.489,9.0269,6.2846,6.7779,7.3048,8.2304,7.4706,0,6.4829,5.4893,4.9828,4.9594
18.71,10.78,6.0348,10.607,4.4584,5.2769,8.3889,6.4829,0,4.6597,8.606,5.4423
15.945,10.698,6.7388,7.8122,6.175,4.394,4.8246,5.4893,4.6597,0,5.7636,4.8324
13.265,10.7,8.2256,4.8657,9.6937,7.7069,5.1476,4.9828,8.606,5.7636,0,5.5446
16.327,7.6252,8.3413,7.4501,7.9644,6.1547,6.9056,4.9594,5.4423,4.8324,5.5446,0
