0,311.95,296.44,283.87,257.58,293.15,233.52,264.43,267.58,269.13,266.12,276.07,302.72,273.23,252.29
311.95,0,140.2,149.98,211.44,195.51,199.82,163.63,121.57,144.57,177.49,122.74,297.61,171.65,165.33
296.44,140.2,0,136.48,182,159.9,161.77,139.73,73.648,94.471,177.83,120.07,274.27,146.89,128.55
283.87,149.98,136.48,0,170.99,174.33,158.9,133.41,117.06,101.62,109.23,95.652,274.41,132.08,113.78
257.58,211.44,182,170.99,0,176.45,135.57,134.8,164.78,125.11,148.57,160.16,204.22,122.78,122.66
293.15,195.51,159.9,174.33,176.45,0,165.2,117.24,140.11,128.99,167.14,148.24,269.62,148.59,138.87
233.52,199.82,161.77,158.9,135.57,165.2,0,116.78,126.56,119.92,138.91,140.7,244.36,139.19,90.372
264.43,163.63,139.73,133.41,134.8,117.24,116.78,0,105.5,76.237,96.143,84.766,251.27,91.691,66.806
267.58,121.57,73.648,117.06,164.78,140.11,126.56,105.5,0,80.454,140.48,87.06,263.59,124.83,95.881
269.13,144.57,94.471,101.62,125.11,128.99,119.92,76.237,80.454,0,103.76,77.888,249.05,88.156,64.368
266.12,177.49,177.83,109.23,148.57,167.14,138.91,96.143,140.48,103.76,0,84.189,268.76,108.07,84.07
276.07,122.74,120.07,95.652,160.16,148.24,140.7,84.766,87.06,77.888,84.189,0,268.54,107.22,87.213
302.72,297.61,274.27,274.41,204.22,269.62,244.36,251.27,263.59,249.05,268.76,268.54,0,256.37,247.11
273.23,171.65,146.89,132.08,122.78,148.59,139.19,91.691,124.83,88.156,108.07,107.22,256.37,0,95.067
252.29,165.33,128.55,113.78,122.66,138.87,90.372,66.806,95.881,64.368,84.07,87.213,247.11,95.067,0
